feature_set,model,seed,balanced_accuracy,sensitivity,specificity,roc_auc,balanced_accuracy_opt_threshold,threshold_used
stage_diff_summary,svm_rbf,3,0.7196209587513935,0.7435897435897436,0.6956521739130435,0.7933389074693422,0.745819397993311,0.7712958588468645
stage_diff_summary,gradient_boosting,3,0.6137123745819398,0.9230769230769231,0.30434782608695654,0.7424749163879599,0.6970457079152732,0.9621127759093088
stage_diff_summary,baseline_log_reg,4,0.7723809523809524,0.7047619047619048,0.84,0.8685714285714285,0.8238095238095238,0.34796992047536657
stage_diff_summary,lda,4,0.7285714285714285,0.8571428571428571,0.6,0.8613333333333333,0.8104761904761905,0.6557099794363634
stage_diff_summary,random_forest,4,0.7095238095238094,0.819047619047619,0.6,0.8112380952380953,0.7571428571428571,0.6233333333333333
stage_diff_summary,svm_rbf,4,0.7571428571428571,0.7142857142857143,0.8,0.8419047619047619,0.7771428571428571,0.7100573702284234
stage_diff_summary,gradient_boosting,4,0.6342857142857143,0.8285714285714286,0.44,0.7927619047619048,0.7714285714285714,0.9386459967718687
stage_diff_summary,baseline_log_reg,5,0.8137376237623762,0.7524752475247525,0.875,0.8477722772277229,0.8137376237623762,0.5048278336076925
stage_diff_summary,lda,5,0.6538778877887789,0.8910891089108911,0.4166666666666667,0.8259075907590758,0.7978547854785478,0.734859618852174
stage_diff_summary,random_forest,5,0.7551567656765676,0.801980198019802,0.7083333333333334,0.8430280528052805,0.783003300330033,0.5866666666666667
stage_diff_summary,svm_rbf,5,0.7473184818481848,0.7029702970297029,0.7916666666666666,0.8415841584158416,0.7910478547854786,0.8211572286027988
stage_diff_summary,gradient_boosting,5,0.5556930693069306,0.8613861386138614,0.25,0.7883663366336634,0.7662953795379538,0.9284311066872507
stage_diff_summary,baseline_log_reg,6,0.8190934065934066,0.8131868131868132,0.825,0.8837912087912089,0.8331043956043955,0.5447962830143696
stage_diff_summary,lda,6,0.6850274725274725,0.945054945054945,0.425,0.878021978021978,0.8221153846153846,0.7720869051483022
stage_diff_summary,random_forest,6,0.710576923076923,0.8461538461538461,0.575,0.767032967032967,0.7490384615384615,0.44
stage_diff_summary,svm_rbf,6,0.7306318681318682,0.7362637362637363,0.725,0.8203296703296704,0.763598901098901,0.7112594843775849
stage_diff_summary,gradient_boosting,6,0.634065934065934,0.8681318681318682,0.4,0.7414835164835165,0.7181318681318681,0.8889282979313017
stage_diff_summary,baseline_log_reg,7,0.7145239539114615,0.7525773195876289,0.6764705882352942,0.8080654942389327,0.7513644633110976,0.43964050547100275
stage_diff_summary,lda,7,0.6646452395391146,0.9175257731958762,0.4117647058823529,0.8053365676167374,0.7418132201334142,0.6615848591346503
stage_diff_summary,random_forest,7,0.6616130988477865,0.7938144329896907,0.5294117647058824,0.7066403881140085,0.7189205579138872,0.63
stage_diff_summary,svm_rbf,7,0.6902668283808369,0.7628865979381443,0.6176470588235294,0.725591267434809,0.704972710733778,0.744771140122561
stage_diff_summary,gradient_boosting,7,0.6337174044875682,0.8556701030927835,0.4117647058823529,0.6846573681018799,0.6660097028502123,0.7633845897895867
stage_diff_summary,baseline_log_reg,8,0.8185672514619884,0.8315789473684211,0.8055555555555556,0.8792397660818713,0.8324561403508772,0.5193267013058597
stage_diff_summary,lda,8,0.6714912280701755,0.9263157894736842,0.4166666666666667,0.8634502923976609,0.8061403508771929,0.7883278763556926
stage_diff_summary,random_forest,8,0.7390350877192983,0.8947368421052632,0.5833333333333334,0.8326023391812867,0.774561403508772,0.7266666666666667
stage_diff_summary,svm_rbf,8,0.7649122807017543,0.8631578947368421,0.6666666666666666,0.8698830409356726,0.7865497076023391,0.8290608001159867
stage_diff_summary,gradient_boosting,8,0.5986842105263157,0.9473684210526315,0.25,0.795906432748538,0.7606725146198831,0.9497078099969585
stage_diff_summary,baseline_log_reg,9,0.8430735930735931,0.8452380952380952,0.8409090909090909,0.9120670995670995,0.8712121212121212,0.5248199954525766
stage_diff_summary,lda,9,0.6985930735930737,0.9880952380952381,0.4090909090909091,0.908008658008658,0.8706709956709957,0.818638975966843
stage_diff_summary,random_forest,9,0.7591991341991342,0.9047619047619048,0.6136363636363636,0.8639069264069265,0.8095238095238095,0.5733333333333334
stage_diff_summary,svm_rbf,9,0.7375541125541125,0.7023809523809523,0.7727272727272727,0.8219696969696969,0.7489177489177489,0.764555754764909
stage_diff_summary,gradient_boosting,9,0.6807359307359307,0.9523809523809523,0.4090909090909091,0.8336038961038961,0.7586580086580086,0.9518530363781914
stage_diff_full_curve,baseline_log_reg,0,0.9439924906132666,0.9468085106382979,0.9411764705882353,0.9765331664580726,0.9493116395494368,0.4642538180427305
stage_diff_full_curve,lda,0,0.8266583229036295,0.8297872340425532,0.8235294117647058,0.8933041301627034,0.8385481852315394,0.3377772454985117
stage_diff_full_curve,random_forest,0,0.9399249061326658,0.9680851063829787,0.9117647058823529,0.9867021276595745,0.9521276595744681,0.7266666666666667
stage_diff_full_curve,svm_rbf,0,0.9133291614518148,0.9148936170212766,0.9117647058823529,0.9727784730913642,0.937421777221527,0.8077473662600114
stage_diff_full_curve,gradient_boosting,0,0.9051939924906133,0.9574468085106383,0.8529411764705882,0.9787234042553192,0.9439924906132666,0.8689767006875515
stage_diff_full_curve,baseline_log_reg,1,0.9287037037037037,0.9074074074074074,0.95,0.9638888888888888,0.9333333333333333,0.48327338208657616
stage_diff_full_curve,lda,1,0.8694444444444445,0.8888888888888888,0.85,0.9444444444444445,0.9009259259259259,0.8513023234419886
